decision	eiti_name	hq_country	subsidiaries	method	lei	gleif_legal_name	gleif_country	flag	note
accept	GLENCORE	JEY	34	gleif_name_exact	2138002658CPO9NBH955	GLENCORE PLC	JE	HAS GLEIF PARENT: GLENCORE PLC	
reject	Hindustan Zinc		0	gleif_name_exact	335800LB39TLJ8YTWM98	HINDUSTAN ZINC LIMITED	IN	HAS GLEIF PARENT: VEDANTA LIMITED	
accept	PT Pertamina (Persero)	IDN	158	gleif_name_exact	254900NDAKGNZ2IBBL45	Pt Pertamina (Persero)	ID	HAS GLEIF PARENT: Republic of Indonesia	
accept	WOODSIDE ENERGY	AUS	36	gleif_name_exact	254900CDO2KAUEBXZV54	WOODSIDE ENERGY LTD.	AU	HAS GLEIF PARENT: Woodside Energy Group Ltd	2 exact name matches
reject	AMG	NLD	11	candidates_only					no exact match — paste one LEI if right: 724500FGWICT2OY5SN45 AMG Consult B.V. (NL); 724500UER680UCN0T776 AMG Enschede Beheer B.V. (NL); 5493006MN6OH67U2YI74 AMG Critical Materials N.V. (NL)
reject	Antofagasta Minerals	CHL	1	candidates_only					no GLEIF candidate
reject	BARRICK		0	candidates_only	0O4KBQCJZX82UKGCBV73	Barrick Mining Corporation	CA		"no exact match — paste one LEI if right: 549300XJ1UJ5T8LAYU48 BARRICK ENTERPRISES, INC. (US); 5493002CWGHR03YL8X75 BARRICK GOLD INC. (CA); 0O4KBQCJZX82UKGCBV73 BARRICK MINING CORPORATION (CA)"
reject	Base Resources now Energy Fuels inc		6	candidates_only					no GLEIF candidate
reject	Base Titanium	KEN	0	candidates_only					no GLEIF candidate
accept	BP	GBR	87	candidates_only	213800LH1BZH3DI6G760	BP P.L.C.	GB		no exact match — paste one LEI if right: 213800LH1BZH3DI6G760 BP P.L.C. (GB); 984500EY7ADCE6FB0C92 BP BUILDS LTD (GB); 213800V2BTQQWDTVEA57 BP TELECOMS LTD (GB)
accept	CHEVRON CORPORATION	USA	18	candidates_only	VA8TZDWPEZYU430RZ444	Chevon U.S.A. Inc.	US		no exact match — paste one LEI if right: 5493000LYKE40G5GMJ46 CHEVRON MASTER PENSION TRUST (US); 5493003J64OKD7HGL688 Bridgehead Gas & Oil Corporation (US); 25490030VC077NQNOP03 99 BEDFORD OWNER LLC (US)
reject	Codelco	CHL	3	candidates_only					no GLEIF candidate
reject	Compania Poderosa Minera S.A.	PER	0	candidates_only					no GLEIF candidate
reject	Council on Ethics of the Swedish National Pension Funds		0	candidates_only					no GLEIF candidate
reject	Dundee Precious Metals	CAN	1	candidates_only	549300LATVTU0EIUMD45	DPM Metals Inc.	CA		no exact match — paste one LEI if right: 549300LATVTU0EIUMD45 DPM METALS INC. (CA)
accept	ENI	ITA	94	candidates_only	BUCRF72VH5RBN7X3VL35	ENI S.P.A.	IT		no exact match — paste one LEI if right: 8156006AD45B0AB78474 MORASSUTTI ENI (IT); BUCRF72VH5RBN7X3VL35 ENI S.P.A. (IT); 984500B4D6BC73E9F591 ENI INSURANCE S.P.A. (IT)
accept	EXXONMOBIL	USA	46	candidates_only	J3WHBG0MTS7O8ZVMDC91	EXXON MOBIL CORPORATION	US		no exact match — paste one LEI if right: 549300NCY2P2FLJT9D42 EXXONMOBIL OIL CORPORATION (US); 254900H02QJZ52OZGO18 ExxonMobil Master Pension Trust (US); 549300RMYREDP1J7XH77 EXXONMOBIL SALES AND SUPPLY LLC (US)
reject	Far Limited		0	candidates_only					no exact match — paste one LEI if right: 549300X7E0P34SD61079 FAR Nova Limited (VG); 549300RUQ5N7GX1B7C24 FAR-REACHING LIMITED (VG); 5493008GCU8QRY7FMT07 Far East Limited (VG)
accept	Gunvor Group	CHE	12	candidates_only	549300OEZB4GETCGFX34	GUNVOR GROUP LTD			no GLEIF candidate
reject	Hydro		3	candidates_only					no exact match — paste one LEI if right: 969500C0AZ09CO3MMA28 HYDRO 71 (FR); 335800H54ZPXXOVRG667 HYDRO PIPES (IN); 9695001HLV3ZFK5PVK31 VILBERT HYDRO (FR)
reject	Inpex Coporation	JPN	10	candidates_only	353800VHYYADPR6MXQ47	"株式会社INPEX
"			no GLEIF candidate
reject	JX Nippon		1	candidates_only					"no exact match — paste one LEI if right: 549300ZTDY1RITFW9806 ANCI, INC. (US); 353800DRTSU7UUB02L07 ENEOS Oil & Energy Asia Pte. Ltd. (SG); 254900I3DUKQ51AIYB46 ENEOS AMERICAS INC. (US) [under ENEOSホールディングス株式会社]"
reject	JX Nippon Mining & Metals	JPN	0	candidates_only					no GLEIF candidate
reject	KfW Group		0	candidates_only					no GLEIF candidate
reject	Lundin Energy		0	candidates_only					no exact match — paste one LEI if right: 52990011UY1D5C5HUH40 Lundin Energy Marketing SA (CH); 549300WFK7QZ1YQ8DR72 Lundin Energy MergerCo AB (publ) (SE); 549300C0QI8NGGV3IS32 ABP NORWAY AS (NO)
