record_id,subject_lei,source_id,name_raw,name_norm,jurisdiction,inc_date,address_norm,lei,nat_reg
7c1e55a0-6463-8ca4-dec7-2c9b3694b669,213800LH1BZH3DI6G760,,"BP AMI LEASING, INC.",bp ami leasing inc,US,1978-09-15,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",549300FJOXFUONBUSB24,JUR:US:860013
4841f335-fe6f-838d-1cf3-fe730b9a9544,213800LH1BZH3DI6G760,,BP GLOBAL INVESTMENTS LIMITED,bp global investments limited,GB,1932-03-24,"chertsey road, middlesex, sunbury-on-thames",549300GL1JKOPE05D156,JUR:GB:00263889
da8c08d7-521b-4bee-d284-edc33c3688f5,213800LH1BZH3DI6G760,,TA OPERATING LLC,ta operating llc,US,1993-07-08,"c/o corporation service company, 251 little falls drive, wilmington, delaware",254900E2H6UPESEYHK67,JUR:US:2342992
48bac41f-1f1f-e62d-a7d0-7e8f2b3735e5,213800LH1BZH3DI6G760,,BP ENERGY EUROPE LIMITED,bp energy europe limited,GB,1987-11-27,"1 wellheads avenue, dyce, aberdeen",549300O4I4C09FVKBE77,JUR:GB:SC107896
1c37be93-074d-68c6-0eff-3163423cbf10,213800LH1BZH3DI6G760,,BP SINGAPORE PTE. LIMITED,bp singapore pte limited,SG,2013-03-19,"7 straits view, #26-01, marina one east tower, singapore",549300S6ZINNW7Y1NP62,JUR:SG:196600436K
345aa89f-e4d7-d41b-1db7-c265ed09db41,213800LH1BZH3DI6G760,,ARCHAEA ENERGY OPERATING LLC,archaea energy operating llc,US,2021-04-05,"c/o corporation service company, 251 little falls drive, wilmington, delaware",549300KT0ZQUIBAX8U21,JUR:US:5795097
b84e1b66-03cf-8e1e-1abb-b557c7657c67,213800LH1BZH3DI6G760,,BP INDIA PRIVATE LIMITED,bp india private limited,IN,2002-12-30,"technopolis knowledge park,, andheri (e), mumbai, mumbai, mahārāshtra",335800DTEWI5HM8G1295,JUR:IN:U50100MH2002PTC138480
299c21d3-3070-6078-fdee-11732410fa7d,213800LH1BZH3DI6G760,,بى بيه ميدل ايست ش.ذ.م.م,بى بيه ميدل ايست ش ذ م م,AE,1980-09-10,"8th floor, burj khalifa area, dubai",549300GFYQ2Z4MV18T39,
47eae507-9f1a-1ee5-f6f4-0182a2737dc5,213800LH1BZH3DI6G760,,CASTROL INDIA LIMITED,castrol india limited,IN,1979-05-30,"technopolis knowledge park,, chakala, andheri (east), mumbai, mahārāshtra",335800KCNMKXQFPJ5Q28,JUR:IN:L23200MH1979PLC021359
4d801ad4-d8e1-bf00-77ab-aa22fba38334,213800LH1BZH3DI6G760,,BP OIL UK LIMITED,bp oil uk limited,GB,1947-12-20,"chertsey road, middlesex, sunbury on thames",6HF6UF5XUDTS104QCS33,JUR:GB:00446915
7f96a4b5-4050-7685-c986-558a74e10f41,213800LH1BZH3DI6G760,,ΒΡ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΕΤΡΕΛΑΙΟΕΙΔΩΝ,βρ ελληνικη μονοπροσωπη ανωνυμη εταιρεια πετρελαιοειδων,GR,1927-12-28,"26a ioannou apostolopoulou, halandri, athens, gr-i",5493008CHX3FW76KG908,
e21df94a-069a-2101-3563-ced0c757827e,213800LH1BZH3DI6G760,,BP ENERGY RETAIL COMPANY LLC,bp energy retail company llc,US,2006-11-01,"c/o the corporation trust company, 1209 orange st, wilmington, delaware",549300AGC7BAI04R6015,JUR:US:4244298
6ef328ba-50a4-6c6b-ec80-6240477ff6ed,213800LH1BZH3DI6G760,,BP AUSTRALIA SWAPS MANAGEMENT LIMITED,bp australia swaps management limited,GB,,"chertsey road, middlesex, sunbury-on-thames, gb-ric",549300UMEO4KHSEGTG58,JUR:GB:08298838
f78f4d9a-693b-5c45-11e9-84af6f22660f,213800LH1BZH3DI6G760,,BP EUROPE SE MAGYARORSZAGI FIOKTELEPE,bp europe se magyarorszagi fioktelepe,HU,,"soroksari utja 32-34 / e, budapest, budapest",549300P807JHWY1X1063,
eaa4d26b-4214-2896-f3d9-30d91a52c253,213800LH1BZH3DI6G760,,BP SHIPPING LIMITED,bp shipping limited,GB,1915-04-30,"chertsey road, middlesex, london",549300KWC0CKSSHUZ327,JUR:GB:00140132
06c116c5-e143-d5a9-4dee-490f782a029b,213800LH1BZH3DI6G760,,CASTROL HOLDINGS INTERNATIONAL LIMITED,castrol holdings international limited,GB,2020-08-20,"chertsey road, middlesex, sunbury on thames middlesex",549300LCKI6BWPCJGX28,JUR:GB:12825643
ccc5b4b9-082d-2e8f-3578-e9fbc93fc7df,213800LH1BZH3DI6G760,,BP GAS MARKETING LIMITED,bp gas marketing limited,GB,1967-06-22,"chertsey road, sunbury on thames, london",549300LH9YXVHGYN6V32,JUR:GB:00908982
d89ed83b-62c8-8b97-b7ed-b51c1b595af3,213800LH1BZH3DI6G760,,BRITANNIC TRADING LIMITED,britannic trading limited,GB,1966-02-21,"chertsey road, sunbury-on-thames, london",549300MOF13GKBNRVV53,JUR:GB:00871912
c009b342-090d-5517-ff4a-105722a84dbc,213800LH1BZH3DI6G760,,BP Commodity Supply B.V.,bp commodity supply b v,NL,2018-08-22,"d'arcyweg 76, europoort, rotterdam, zuid-holland",549300NCTSINOQUCE407,JUR:NL:72399104
