bucket,human_label,notes,splink_p,name_sim,shared_id_proxy,name_a,name_b,juris_a,juris_b,date_a,date_b,source_a,source_b,record_id_a,record_id_b
splink_high_confident,,,0.999,1.0,1,بى بيه ميدل ايست ش.ذ.م.م,بى بيه ميدل ايست ش.ذ.م.م,AE,AE,1980-09-10,1980-09-10,,GLEIF,299c21d3-3070-6078-fdee-11732410fa7d,opencheck-34c7e8a48fa55636f740bc59
splink_high_confident,,,0.999,1.0,1,"IGI RESOURCES, INC.","IGI RESOURCES, INC.",US,US,1985-10-29,1985-10-29,,GLEIF,329380e8-57c6-cfd8-6758-6ca1ff995cdc,opencheck-83a5257ac507d2d6ca7bade2
splink_high_confident,,,0.999,1.0,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1978-07-14,1978-07-14,,UK Companies House,1dcad769-aee1-7400-e110-9d61e99fcabc,opencheck-e701b218c12797a8d5a0ff58
splink_high_confident,,,0.999,1.0,1,BP FRANCE,BP FRANCE,FR,FR,1923-01-01,1923-01-01,,GLEIF,d6141c28-58ef-de8a-898b-34640fa05241,opencheck-dbf53cfd9a2b2610a9c2d296
splink_high_confident,,,0.999,1.0,1,BP AMERICA PRODUCTION COMPANY,BP AMERICA PRODUCTION COMPANY,US,US,1930-12-12,1930-12-12,,GLEIF,ffbe835c-01ff-3b5b-3db9-f5b8834fa944,opencheck-d213860ed75fee321446028b
splink_high_confident,,,0.999,1.0,1,BP EXPLORATION & PRODUCTION INC.,BP EXPLORATION & PRODUCTION INC.,US,US,1996-06-10,1996-06-10,,GLEIF,df35ca10-b49b-c764-4848-3a99458f0ea0,opencheck-23ec7afce29e24a1fe9cfc21
splink_high_confident,,,0.999,1.0,1,BP SHIPPING LIMITED,BP SHIPPING LIMITED,GB,GB,1915-04-30,1915-04-30,,UK Companies House,eaa4d26b-4214-2896-f3d9-30d91a52c253,opencheck-7a8b7059e259d6875b4eb978
splink_high_confident,,,0.999,1.0,1,"ARCHE ENERGY PROJECT, LLC","ARCHE ENERGY PROJECT, LLC",US,US,2019-02-12,2019-02-12,,GLEIF,c2e1ca5e-f391-391f-d801-0ef848004a2e,opencheck-d21639b918406cd766e4ef0f
splink_high_confident,,,0.999,1.0,1,BP EXPLORATION (ALPHA) LIMITED,BP EXPLORATION (ALPHA) LIMITED,GB,GB,2007-04-26,2007-04-26,,GLEIF,e6955ff0-d5ba-2e95-b3e1-8c6613ef857f,opencheck-85843ce13aa5fb6e546ec721
splink_high_confident,,,0.999,1.0,1,"THALASSA ENERGY PROJECT, LLC","THALASSA ENERGY PROJECT, LLC",US,US,2019-02-12,2019-02-12,,GLEIF,15e07e06-ff5a-a203-d5f6-8b160cbb0e2f,opencheck-247d1acc9c1a3fc5aaee5204
splink_high_confident,,,0.999,1.0,1,CASTROL HOLDINGS INTERNATIONAL LIMITED,CASTROL HOLDINGS INTERNATIONAL LIMITED,GB,GB,2020-08-20,2020-08-20,,GLEIF,06c116c5-e143-d5a9-4dee-490f782a029b,opencheck-a3ceb2b0b2f8f07f322d5cfe
splink_high_confident,,,0.999,1.0,1,BP GAS MARKETING LIMITED,BP GAS MARKETING LIMITED,GB,GB,1967-06-22,1967-06-22,,GLEIF,ccc5b4b9-082d-2e8f-3578-e9fbc93fc7df,opencheck-76d215c7b3cf5d64f5e64b0e
