bucket,human_label,notes,splink_p,name_sim,diff_lei,name_a,name_b,juris_a,juris_b,date_a,date_b,source_a,source_b,record_id_a,record_id_b
diff_lei_high_sim,,,0.985,1.0,1,TA OPERATING LLC,TA OPERATING LLC,US,US,1993-07-08,1993-07-08,,OpenCorporates,da8c08d7-521b-4bee-d284-edc33c3688f5,opencheck-739589e12138423e4a13193f
diff_lei_high_sim,,,0.022,1.0,1,ΒΡ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΕΤΡΕΛΑΙΟΕΙΔΩΝ,ΒΡ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΕΤΡΕΛΑΙΟΕΙΔΩΝ»,GR,GR,1927-12-28,nan,,OpenAleph,7f96a4b5-4050-7685-c986-558a74e10f41,opencheck-797fc59135fb1f92620352f0
diff_lei_high_sim,,,0.996,1.0,1,BP GAS MARKETING LIMITED,BP GAS MARKETING LIMITED,GB,GB,1967-06-22,1967-06-22,,UK Companies House,ccc5b4b9-082d-2e8f-3578-e9fbc93fc7df,opencheck-933729c09cd3d0d634a489b1
diff_lei_high_sim,,,0.617,1.0,1,BP LUXEMBOURG S..A.,BP LUXEMBOURG S..A.,LU,LU,1993-12-14,1993-12-15,,OpenCorporates,8cdccf3c-284a-ef75-db97-f694b7054b38,opencheck-295ed4eb4b46b773dac4c26f
diff_lei_high_sim,,,0.016,1.0,1,Air BP Sweden Aktiebolag,Air BP Sweden Aktiebolag,SE,SE,1962-01-22,nan,,OpenAleph,c501b1ab-2728-307b-38e4-0007376d2ee0,opencheck-275996348900034cb0496beb
diff_lei_high_sim,,,0.996,1.0,1,BP OIL INTERNATIONAL LIMITED,BP OIL INTERNATIONAL LIMITED,GB,GB,1936-12-28,1936-12-28,,UK Companies House,d65d36fb-d07a-8606-4f25-99c2b2cde923,opencheck-600b23e2445cd6d331fec9d4
diff_lei_high_sim,,,0.999,1.0,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1978-07-14,1978-07-14,,UK Companies House,1dcad769-aee1-7400-e110-9d61e99fcabc,opencheck-e701b218c12797a8d5a0ff58
diff_lei_high_sim,,,0.981,1.0,1,B P AUSTRALIA PTY LTD,B P AUSTRALIA PTY LTD,AU,AU,1920-08-25,1920-08-25,,OpenCorporates,fd6d044a-2155-bae9-b697-6cb53cbc8575,opencheck-e9cbeec5dab2004e36b27d37
diff_lei_high_sim,,,0.839,1.0,1,CHARGEMASTER LIMITED,CHARGEMASTER LIMITED,GB,GB,2008-10-09,2008-10-09,,UK Companies House,66b7f5cb-f871-94f9-0f53-d3c1dafec8a1,opencheck-1b2e0fdf2a328f834094745d
diff_lei_high_sim,,,0.985,1.0,1,"ARCHE ENERGY PROJECT, LLC","Arche Energy Project, LLC",US,US,2019-02-12,2019-02-12,,OpenCorporates,c2e1ca5e-f391-391f-d801-0ef848004a2e,opencheck-8b8e6480f1d749ca8187a3b6
diff_lei_high_sim,,,0.985,1.0,1,"TELESTO ENERGY PROJECT, LLC","Telesto Energy Project, LLC",US,US,2019-07-25,2019-07-25,,OpenCorporates,0ace689e-d1d0-1860-64e5-08145a3247fd,opencheck-8bbb2e5f388d552dd99f0070
diff_lei_high_sim,,,0.147,1.0,1,BP WEST COAST PRODUCTS LLC,BP WEST COAST PRODUCTS LLC,US,US,nan,2001-09-26,,OpenCorporates,542ca7af-b8f7-ed5a-0401-abc7e7a93936,opencheck-3fd605c11011e5da3fef7852
diff_lei_high_sim,,,0.985,1.0,1,LUBRICANTS UK LIMITED,LUBRICANTS UK LIMITED,GB,GB,1908-03-13,1908-03-13,,OpenCorporates,3e90f2c2-5110-78b1-ab06-499d2dbdd70d,opencheck-6e2aee59101c1af3869d717c
diff_lei_high_sim,,,0.985,1.0,1,"WHITING CLEAN ENERGY, INC.","WHITING CLEAN ENERGY, INC.",US,US,1998-11-12,1998-11-12,,OpenCorporates,3519b3b3-019e-843c-94c1-de81e0ba025c,opencheck-30d1f1d27058f9ad612fef21
diff_lei_high_sim,,,0.147,1.0,1,BP COMPANY NORTH AMERICA INC.,BP COMPANY NORTH AMERICA INC.,US,US,nan,1985-01-21,,OpenCorporates,5bdad9d4-9fb8-96f5-c3a6-093b7c9266e1,opencheck-b901bb8fc2547418f5cc8fe6
diff_lei_high_sim,,,0.985,1.0,1,"THALASSA ENERGY PROJECT, LLC","Thalassa Energy Project, LLC",US,US,2019-02-12,2019-02-12,,OpenCorporates,15e07e06-ff5a-a203-d5f6-8b160cbb0e2f,opencheck-e67c6fd3f579c1ac1eb3e57f
diff_lei_high_sim,,,0.114,1.0,1,BP RAFFINADERIJ ROTTERDAM B.V.,BP Raffinaderij Rotterdam B.V.,NL,NL,1989-10-25,nan,,OpenCorporates,de790da8-c929-4af0-8319-3be5a4716f5e,opencheck-f266f3ac78f72c886a56d5f2
diff_lei_high_sim,,,0.061,1.0,1,BP INTERNATIONAL LIMITED,Bp International Limited,GB,GB,1954-12-29,nan,,UK Companies House,d198f8ca-887b-5e7f-196f-fa9321c7201e,opencheck-03060afafc59f56795cabb59
diff_lei_high_sim,,,0.839,1.0,1,CHARGEMASTER LIMITED,CHARGEMASTER LIMITED,GB,GB,2008-10-09,2008-10-09,,UK Companies House,a459c4b0-8ce6-fb1d-f910-493f0434c734,opencheck-1b2e0fdf2a328f834094745d
diff_lei_high_sim,,,0.996,1.0,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1978-07-14,1978-07-14,,UK Companies House,3e0d80ef-2ef1-4f46-f837-03f37ac2209d,opencheck-e701b218c12797a8d5a0ff58
partial_name_sim,,,0.001,0.88,1,BRITANNIC TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1966-02-21,1978-07-14,,UK Companies House,d89ed83b-62c8-8b97-b7ed-b51c1b595af3,opencheck-e701b218c12797a8d5a0ff58
partial_name_sim,,,0.0,0.88,1,BRITANNIC TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1966-02-21,1978-07-14,,UK Companies House,f4474fb6-b5c0-d725-c6aa-30d6a4c313a7,opencheck-e701b218c12797a8d5a0ff58
partial_name_sim,,,0.0,0.88,1,BRITANNIC TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1966-02-21,1978-07-14,OpenCorporates,UK Companies House,opencheck-adcc65eae34719babfb7cbfe,opencheck-e701b218c12797a8d5a0ff58
partial_name_sim,,,0.0,0.88,1,BRITANNIC TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1966-02-21,1978-07-14,,OpenCorporates,d89ed83b-62c8-8b97-b7ed-b51c1b595af3,opencheck-4501b112f87b62d4cd7319c6
partial_name_sim,,,0.0,0.88,1,BRITANNIC TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1966-02-21,1978-07-14,,OpenCorporates,f4474fb6-b5c0-d725-c6aa-30d6a4c313a7,opencheck-4501b112f87b62d4cd7319c6
partial_name_sim,,,0.001,0.88,1,BRITANNIC TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1966-02-21,1978-07-14,,GLEIF,d89ed83b-62c8-8b97-b7ed-b51c1b595af3,opencheck-30265a09004cc3918ec085bb
partial_name_sim,,,0.0,0.88,1,BRITANNIC TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1966-02-21,1978-07-14,,GLEIF,f4474fb6-b5c0-d725-c6aa-30d6a4c313a7,opencheck-30265a09004cc3918ec085bb
partial_name_sim,,,0.001,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,,UK Companies House,1dcad769-aee1-7400-e110-9d61e99fcabc,opencheck-8ee0a3c6e131ca573b41255a
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,,UK Companies House,3e0d80ef-2ef1-4f46-f837-03f37ac2209d,opencheck-8ee0a3c6e131ca573b41255a
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,GLEIF,UK Companies House,opencheck-30265a09004cc3918ec085bb,opencheck-8ee0a3c6e131ca573b41255a
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,OpenCorporates,UK Companies House,opencheck-4501b112f87b62d4cd7319c6,opencheck-8ee0a3c6e131ca573b41255a
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,,OpenCorporates,1dcad769-aee1-7400-e110-9d61e99fcabc,opencheck-adcc65eae34719babfb7cbfe
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,,OpenCorporates,3e0d80ef-2ef1-4f46-f837-03f37ac2209d,opencheck-adcc65eae34719babfb7cbfe
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,GLEIF,OpenCorporates,opencheck-30265a09004cc3918ec085bb,opencheck-adcc65eae34719babfb7cbfe
partial_name_sim,,,0.001,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,,GLEIF,1dcad769-aee1-7400-e110-9d61e99fcabc,opencheck-edcf4de1011210509a7fdc11
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,,GLEIF,3e0d80ef-2ef1-4f46-f837-03f37ac2209d,opencheck-edcf4de1011210509a7fdc11
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,OpenCorporates,GLEIF,opencheck-4501b112f87b62d4cd7319c6,opencheck-edcf4de1011210509a7fdc11
partial_name_sim,,,0.0,0.88,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1978-07-14,1966-02-21,UK Companies House,GLEIF,opencheck-e701b218c12797a8d5a0ff58,opencheck-edcf4de1011210509a7fdc11
partial_name_sim,,,0.019,0.88,1,BP EXPLORATION PERSONNEL COMPANY LIMITED,Bp Exploration Operating Company Limited,GB,GB,2004-12-22,nan,,UK Companies House,df5043da-4c6b-00a6-47d9-719b901751dd,opencheck-997f4fa5d02e2e3e2bb57c29
partial_name_sim,,,0.0,0.88,1,BP EXPLORATION PERSONNEL COMPANY LIMITED,BP EXPLORATION OPERATING COMPANY LIMITED,GB,GB,2004-12-22,1935-10-12,,GLEIF,df5043da-4c6b-00a6-47d9-719b901751dd,opencheck-c04804e0562ca2403d6f800e
