uid,address,postCode,defaultType
c4160ae290f80ba9c9aa5bba11648dc2,"Van-der-Smissen-Straße 9, Hamburg, Hamburg",22767,business
f86b86eee81c89d7dc049646a43f2981,"TEKNIKERBYEN 5, 1., SØLLERØD, VIRUM, Hovedstaden",2830,business
3e3c7576a3df01635fb0b1b5636f2273,"5 HOWICK PLACE, LONDON, GB-LND",SW1P 1WG,business
102060f3a1aa7fd3d117681b11cab8c5,"C/O THE CORPORATION TRUST COMPANY, CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, Delaware",19801,registered
7e639c74debbf0abdf58c1cae1b36621,"401 NORTH MICHIGAN AVE., CHICAGO, Illinois",60611,business
f6cbf62f95eb7f905bf50a44783b5595,"401 N. MICHIGAN AVENUE, SUITE 501, CHICAGO, Illinois",60611,business
07f0407fc998a1e7687d51a560b7fc89,"C/O ØRSTED A/S, KRAFTVÆRKSVEJ 53, SKÆRBÆK, FREDERICIA, Syddanmark",7000,business
ded669cebaa83c45a91a561edef6b11f,"KRAFTVÆRKSVEJ 53, SKÆRBÆK, FREDERICIA, Syddanmark",7000,business
03e911346577356c42156fb74304ee7b,"19TH FLOOR, NO. 1, SONGZHI ROAD, WEST VILLAGE, TAIPEI, TW-TPE",110411,registered
6983a3371ce9a3824c7f999e35b69373,"C/O ØRSTED A/S, SKAERBAEK, FREDERICIA, Syddanmark",7000,business
e22e099288e3782ff07fb06ac9e87602,"C/O NATIONAL REGISTERED AGENTS, INC., 1209 ORANGE STREET, WILMINGTON, Delaware",19801,registered
5a28b205b3ee630e564b5bab4179d26b,"401 NORTH MICHIGAN AVENUE, CHICAGO, Illinois",60611,business
6e34e79ecce54017ee47a7fecba6a10e,"C/O ØRSTED A/S, SKÆRBÆK, FREDERICIA, Syddanmark",7000,business
18d2dfd914975c0e26e91c6fd9ed58c1,"MARKWEG 194, ROTTERDAM, Noord-Brabant",3198NB,business
5d48c44da0031c6507a60fee8896945d,"C/O ONSHORE NORTH AMERICA LLC, 401 NORTH MICHICAGN AVE, SUITE 501, CHICAGO, Illinois",60611,business
d2f069eab539c22bf5f7f41a0c8cf90d,"C/O ORSTED ONSHORE NORTH AMERICA, LLC, Suite 501, CHICAGO, Illinois",60611,business
2aff6aba4c7f11cde9ef7a2f0db22f4a,"C/O ONSHORE NORTH AMERICA LLC, 401 NORTH MICHIGAN AVE, SUITE 501, CHICAGO, Illinois",60611,business
166ec914d916b900ca2097f9076cb230,"C/O NATIONAL REGISTERED AGENTS, INC, 1209 ORANGE STREET, WILMINGTON, Delaware",19801,registered
edebef0757bd96af8da2cb22614ac2ea,"401 NORTH MICHIGAN, SUITE 501, CHICAGO, Illinois",60611,business
0e90f2d972553571dfae3cdf6af6c0f8,"C/O ØRSTED A/S, KRAFTVARKSVEJ 53-SKAERBAEK, FREDERICIA, Syddanmark",7000,business
75fd12a7c25b539cf507479b1e6daab8,"C/O C T CORPORATION SYSTEM, 3800 N CENTRAL AVE STE 460, PHOENIX, Arizona",85012,business
4866278c3f189a15b74e25035d17f07d,"C/O ØRSTED A/S, KRAFTVÆRKSVEJ 53, SKÆRBÆK, Syddanmark",7000,business
8614a5609d9f8915121ef8fcf19accad,"C/O LINCOLN CLEAN ENERGY, LLC, 401 N. MICHIGAN AVENUE, SUITE 501, CHICAGO, Illinois",60611,business
216fbab2a104bf3775a2de75841e799d,"401 NORTH MICHIGAN AVE, SUITE 501, CHICAGO, Illinois",60611,business
0901e80d2afd44145e83f8a6291878e6,"42-46 FOUNTAIN STREET, BELFAST, GB-BFS",BT1 5EF,business
56e0d1cda29ceb32002ab55e7c2b20a4,"C/O ONSHORE NORTH AMERICA LLC, 401 NORTH MICHIGAN AVENUE, SUITE 501, CHICAGO, Illinois",60611,business
1782ba6eed260b5763e04ba7d4caa3e6,"401 NORTH MICHICAGN AVE, SUITE 501, CHICAGO, Illinois",60611,business
80582dd3d4bbc53f0fc6b0a3c77dbf05,"C/O ONSHORE NORTH AMERICA LLC, 401 NORTH MICHIGAN, SUITE 501, CHICAGO, Illinois",60611,business
312c590ac93bab39406130a374cfe82f,"C/O Lincoln Clean Energy, LLC, Suite 501, Chicago, Illinois",60611,business
6c115926660453c95c8c75e03fa94071,"C/O ØRSTED A/S, KRAFTVÆRKSVEJ 53 SKÆRBÆK, FREDERICIA, Syddanmark",7000,business
843ad54aaa2bbb586b1bf1f0574baa56,"5 HOWICK PLACE, LONDON, ENGLAND",SW1P 1WG,registered
d7af50c30b2b35b74347ea52b81c5ef9,"CLIFFORD CHANCE THE LUMEN, ST JAMES BOULEVARD, NEWCASTLE HELIX, NEWCASTLE UPON TYNE",NE4 5BZ,registered
575ad205a1de984e11b02b6fa1c000fa,"1 BARTHOLOMEW LANE, LONDON, ENGLAND",EC2N 2AX,registered
40c9115cada93283365cc9319cd48573,"5 HOWICK PLACE, LONDON",SW1P 1WG,registered
e4fe1a27deac68e0b0074db282f4ca61,"5 LOTHBURY, LONDON, GB-LND",EC2R 7HD,business
294346d6b65ac40b836f648183a4a8d8,"SEPEHR TOWER, 43, SOMAYEH AVENUE, TEHRAN, Tehrān",15718-38337,business
eb6516913a70fa18916225e81a8da23d,"16 RUE DE LA PAIX, PARIS",75002,registered
6e8e29061577a0be2647710c5c81423f,"631 AVENUE SOMAYEH 43 TOUR SEPEHR, TEHERAN",1193653471,business
b9f870a6580d1b7f6637f5f0e52a5b39,"Building No.58, P.O. BOX. 2256, Doha, Ad Dawḩah",,registered
3bcd62d91fbeb72192be3e30333067fb,"Sepehr Tower, 43, Somayeh Avenue, Tehran, Tehrān",15718-38337,business
720111f582f7e3957eb9c58d7db544b1,"25-29 EL. VENIZELOU STR. (PANEPISTIMIOU), ATHENS, GR-I",10564,registered
24e80483c021e71e680c9c63238b106e,"SEPEHR TOWER, TEHRAN, Tehrān",15718-38337,business
99e82b9881f503e5c6128596a109eef9,"5 LOTHBURY, LONDON",EC2R 7HD,registered
84154a52f5d58850671cea8f6a1fee2c,"CORONATION ROAD, CRESSEX, HIGH WYCOMBE, GB-BKM",HP12 3TZ,business
08e244e81a3d78e07101e92c8057e922,"BARDON HILL, BARDON ROAD, COALVILLE, LEICESTERSHIRE",LE67 1TL,registered
b872dcda3171070445f47c1552715df9,"THE STANLEY BUILDING, 7 PANCRAS SQUARE, LONDON, ENGLAND",N1C 4AG,registered
b6e1bb1cdc451e1740e5ce8a1ae0c7f4,"DUNNS WOOD ROAD, WARDPARK SOUTH INDUSTRIAL ESTATE, CUMBERNAULD",G67 3EN,registered
85d80c5ce087b0f85f7153f1e4a7e9ed,"101 CLYDESMILL DRIVE, CLYDESMILL INDUSTRIAL ESTATE, CAMBUSLANG, GLASGOW",G32 8RG,registered
54dc14213bf040403893f284f93b7d8b,"CRESSEX BUSINESS PARK, CORONATION ROAD, HIGH WYCOMBE, ENGLAND",HP12 3TZ,registered
