start_key,end_key,statementId,statementDate,recordId,recordType,recordStatus,declarationSubject,publicationDate,bodsVersion,publisherName,publisherUrl,publicationLicense,isComponent,sourceTypes,sourceUrl,interestIndex,bodsInterestType,family,directOrIndirect,beneficialOwnershipOrControl,startDate,details,detailsCategory,detailsValue,shareMinimum,shareMaximum,endDate
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800FYWZ9EB11MZN49,8afeb503-e2db-395a-667f-99125bbdc16f,2024-06-06,XI-LEI-RR-U-213800FYWZ9EB11MZN49-W9NG6WMZIYEU8VEDOG48,relationship,new,XI-LEI-213800FYWZ9EB11MZN49,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2017-06-01,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-2138002S3XGZ38WN5Q72,68aacf8a-bd81-41fc-b6e3-8571859ca2ba,2024-09-07,XI-LEI-RR-D-2138002S3XGZ38WN5Q72-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-2138002S3XGZ38WN5Q72,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2015-05-05,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-2138002S3XGZ38WN5Q72,6cb36ec0-3cd1-1381-5272-f15a1b144001,2024-09-07,XI-LEI-RR-U-2138002S3XGZ38WN5Q72-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-2138002S3XGZ38WN5Q72,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2015-05-05,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800JDY3WNXKILP121,a13c9ae6-f676-0b49-11ce-c7c65a45ffbc,2024-09-07,XI-LEI-RR-D-213800JDY3WNXKILP121-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800JDY3WNXKILP121,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2016-09-21,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800JDY3WNXKILP121,cf716ed3-44a2-c54b-7376-02fe2a4e7fd8,2024-09-07,XI-LEI-RR-U-213800JDY3WNXKILP121-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800JDY3WNXKILP121,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2016-09-21,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800MV52QOR3TCID39,8761f141-77c6-fa52-5a7f-e00c4a8fd279,2024-09-07,XI-LEI-RR-D-213800MV52QOR3TCID39-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800MV52QOR3TCID39,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2015-05-05,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800MV52QOR3TCID39,a80dad77-abfc-0d35-7f2e-439d96f2ebd2,2024-09-07,XI-LEI-RR-U-213800MV52QOR3TCID39-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800MV52QOR3TCID39,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2015-05-05,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800NW1M8A9JCNYT42,ec66a87e-8a81-0211-9ee3-c51215d324f3,2024-09-07,XI-LEI-RR-D-213800NW1M8A9JCNYT42-W9NG6WMZIYEU8VEDOG48,relationship,new,XI-LEI-213800NW1M8A9JCNYT42,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2024-08-01,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800NW1M8A9JCNYT42,e508e58a-1e85-1813-707b-336d3a590eff,2024-09-07,XI-LEI-RR-U-213800NW1M8A9JCNYT42-W9NG6WMZIYEU8VEDOG48,relationship,new,XI-LEI-213800NW1M8A9JCNYT42,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2024-08-01,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800XWU7V7WDEQK620,faf11208-b139-a235-00bc-f5216cc4a598,2024-09-07,XI-LEI-RR-D-213800XWU7V7WDEQK620-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800XWU7V7WDEQK620,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2015-05-05,Relationship Type: IS_DIRECTLY_CONSOLIDATED_BY,Relationship Type,IS_DIRECTLY_CONSOLIDATED_BY,,,
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI-213800XWU7V7WDEQK620,bcbf89ae-5cc3-907d-f5b0-856fa384cd41,2024-09-07,XI-LEI-RR-U-213800XWU7V7WDEQK620-W9NG6WMZIYEU8VEDOG48,relationship,updated,XI-LEI-213800XWU7V7WDEQK620,2025-02-28,0.4,Open Ownership,https://www.openownership.org,https://creativecommons.org/publicdomain/zero/1.0/,false,"[""officialRegister""]",https://www.gleif.org/en/lei-data/gleif-golden-copy/download-the-golden-copy,0,otherInfluenceOrControl,CONTROLS,unknown,false,2015-05-05,Relationship Type: IS_ULTIMATELY_CONSOLIDATED_BY,Relationship Type,IS_ULTIMATELY_CONSOLIDATED_BY,,,
