start_key,end_key,type,ordinal
XI-LEI-391200GAL2O80LVLFJ24,c4160ae290f80ba9c9aa5bba11648dc2,registered,0
XI-LEI-391200GAL2O80LVLFJ24,c4160ae290f80ba9c9aa5bba11648dc2,business,1
XI-LEI-5493009Y0WGGYKD2X888,f86b86eee81c89d7dc049646a43f2981,registered,0
XI-LEI-5493009Y0WGGYKD2X888,f86b86eee81c89d7dc049646a43f2981,business,1
XI-LEI-2138004C9R5QI9R5YH02,3e3c7576a3df01635fb0b1b5636f2273,registered,0
XI-LEI-2138004C9R5QI9R5YH02,3e3c7576a3df01635fb0b1b5636f2273,business,1
XI-LEI-213800XWU7V7WDEQK620,3e3c7576a3df01635fb0b1b5636f2273,registered,0
XI-LEI-213800XWU7V7WDEQK620,3e3c7576a3df01635fb0b1b5636f2273,business,1
XI-LEI-549300KY6HKK0GECYX39,102060f3a1aa7fd3d117681b11cab8c5,registered,0
XI-LEI-549300KY6HKK0GECYX39,7e639c74debbf0abdf58c1cae1b36621,business,1
XI-LEI-549300FNQS5QUAPENQ15,102060f3a1aa7fd3d117681b11cab8c5,registered,0
XI-LEI-549300FNQS5QUAPENQ15,f6cbf62f95eb7f905bf50a44783b5595,business,1
XI-LEI-549300WRI3IMTMV3P242,07f0407fc998a1e7687d51a560b7fc89,registered,0
XI-LEI-549300WRI3IMTMV3P242,07f0407fc998a1e7687d51a560b7fc89,business,1
XI-LEI-W9NG6WMZIYEU8VEDOG48,ded669cebaa83c45a91a561edef6b11f,registered,0
XI-LEI-W9NG6WMZIYEU8VEDOG48,ded669cebaa83c45a91a561edef6b11f,business,1
XI-LEI-2138007V5RO48KLMZF61,3e3c7576a3df01635fb0b1b5636f2273,registered,0
XI-LEI-2138007V5RO48KLMZF61,3e3c7576a3df01635fb0b1b5636f2273,business,1
XI-LEI-2138002S3XGZ38WN5Q72,3e3c7576a3df01635fb0b1b5636f2273,registered,0
XI-LEI-2138002S3XGZ38WN5Q72,3e3c7576a3df01635fb0b1b5636f2273,business,1
XI-LEI-254900CL1QRNJC42HA89,03e911346577356c42156fb74304ee7b,registered,0
XI-LEI-254900CL1QRNJC42HA89,6983a3371ce9a3824c7f999e35b69373,business,1
XI-LEI-549300HLOJDV9GDG8H69,e22e099288e3782ff07fb06ac9e87602,registered,0
XI-LEI-549300HLOJDV9GDG8H69,5a28b205b3ee630e564b5bab4179d26b,business,1
