start_key,end_key,ordinal,isPrimary
XI-LEI-391200GAL2O80LVLFJ24,XI-LEI|391200GAL2O80LVLFJ24,0,true
XI-LEI-391200GAL2O80LVLFJ24,DE-CR|HRB 136926,1,false
XI-LEI-5493009Y0WGGYKD2X888,XI-LEI|5493009Y0WGGYKD2X888,0,true
XI-LEI-5493009Y0WGGYKD2X888,DK-CVR|73349613,1,false
XI-LEI-2138004C9R5QI9R5YH02,XI-LEI|2138004C9R5QI9R5YH02,0,true
XI-LEI-2138004C9R5QI9R5YH02,GB-COH|08584210,1,false
XI-LEI-213800XWU7V7WDEQK620,XI-LEI|213800XWU7V7WDEQK620,0,true
XI-LEI-213800XWU7V7WDEQK620,GB-COH|07306956,1,false
XI-LEI-549300KY6HKK0GECYX39,XI-LEI|549300KY6HKK0GECYX39,0,true
XI-LEI-549300KY6HKK0GECYX39,US-SAM|6846889,1,false
XI-LEI-549300FNQS5QUAPENQ15,XI-LEI|549300FNQS5QUAPENQ15,0,true
XI-LEI-549300FNQS5QUAPENQ15,US-SAM|5858125,1,false
XI-LEI-549300WRI3IMTMV3P242,XI-LEI|549300WRI3IMTMV3P242,0,true
XI-LEI-549300WRI3IMTMV3P242,DK-CVR|27446469,1,false
XI-LEI-W9NG6WMZIYEU8VEDOG48,XI-LEI|W9NG6WMZIYEU8VEDOG48,0,true
XI-LEI-W9NG6WMZIYEU8VEDOG48,DK-CVR|36213728,1,false
XI-LEI-2138007V5RO48KLMZF61,XI-LEI|2138007V5RO48KLMZF61,0,true
XI-LEI-2138007V5RO48KLMZF61,GB-COH|07640851,1,false
XI-LEI-2138002S3XGZ38WN5Q72,XI-LEI|2138002S3XGZ38WN5Q72,0,true
XI-LEI-2138002S3XGZ38WN5Q72,GB-COH|07640868,1,false
XI-LEI-254900CL1QRNJC42HA89,XI-LEI|254900CL1QRNJC42HA89,0,true
XI-LEI-549300HLOJDV9GDG8H69,XI-LEI|549300HLOJDV9GDG8H69,0,true
XI-LEI-549300HLOJDV9GDG8H69,US-SAM|5711816,1,false
XI-LEI-213800THGIUR8XF8OZ68,XI-LEI|213800THGIUR8XF8OZ68,0,true
XI-LEI-213800THGIUR8XF8OZ68,GB-COH|08902636,1,false
XI-LEI-5493003I024VW3EM4E21,XI-LEI|5493003I024VW3EM4E21,0,true
XI-LEI-5493003I024VW3EM4E21,DK-CVR|31849292,1,false
XI-LEI-549300Q8HMKBGXWJ3Q83,XI-LEI|549300Q8HMKBGXWJ3Q83,0,true
XI-LEI-549300Q8HMKBGXWJ3Q83,DK-CVR|28330766,1,false
XI-LEI-549300TKCR7ADX1M3969,XI-LEI|549300TKCR7ADX1M3969,0,true
