uid,scheme,id,schemeName,uri
XI-LEI|391200GAL2O80LVLFJ24,XI-LEI,391200GAL2O80LVLFJ24,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
DE-CR|HRB 136926,DE-CR,HRB 136926,Common Register Portal of the German Federal States (CRP),https://www.handelsregister.de/rp_web/welcome.do
XI-LEI|5493009Y0WGGYKD2X888,XI-LEI,5493009Y0WGGYKD2X888,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
DK-CVR|73349613,DK-CVR,73349613,Danish Central Business Register,https://datacvr.virk.dk/data/
XI-LEI|2138004C9R5QI9R5YH02,XI-LEI,2138004C9R5QI9R5YH02,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
GB-COH|08584210,GB-COH,08584210,Companies House,http://www.companieshouse.gov.uk/
XI-LEI|213800XWU7V7WDEQK620,XI-LEI,213800XWU7V7WDEQK620,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
GB-COH|07306956,GB-COH,07306956,Companies House,http://www.companieshouse.gov.uk/
XI-LEI|549300KY6HKK0GECYX39,XI-LEI,549300KY6HKK0GECYX39,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
US-SAM|6846889,US-SAM,6846889,"System for Award Management (SAM) Unique Entity ID, USA",https://sam.gov/content/entity-registration
XI-LEI|549300FNQS5QUAPENQ15,XI-LEI,549300FNQS5QUAPENQ15,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
US-SAM|5858125,US-SAM,5858125,"System for Award Management (SAM) Unique Entity ID, USA",https://sam.gov/content/entity-registration
XI-LEI|549300WRI3IMTMV3P242,XI-LEI,549300WRI3IMTMV3P242,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
DK-CVR|27446469,DK-CVR,27446469,Danish Central Business Register,https://datacvr.virk.dk/data/
XI-LEI|W9NG6WMZIYEU8VEDOG48,XI-LEI,W9NG6WMZIYEU8VEDOG48,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
DK-CVR|36213728,DK-CVR,36213728,Danish Central Business Register,https://datacvr.virk.dk/data/
XI-LEI|2138007V5RO48KLMZF61,XI-LEI,2138007V5RO48KLMZF61,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
GB-COH|07640851,GB-COH,07640851,Companies House,http://www.companieshouse.gov.uk/
XI-LEI|2138002S3XGZ38WN5Q72,XI-LEI,2138002S3XGZ38WN5Q72,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
GB-COH|07640868,GB-COH,07640868,Companies House,https://www.gov.uk/government/organisations/companies-house
XI-LEI|254900CL1QRNJC42HA89,XI-LEI,254900CL1QRNJC42HA89,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
XI-LEI|549300HLOJDV9GDG8H69,XI-LEI,549300HLOJDV9GDG8H69,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
US-SAM|5711816,US-SAM,5711816,"System for Award Management (SAM) Unique Entity ID, USA",https://sam.gov/content/entity-registration
XI-LEI|213800THGIUR8XF8OZ68,XI-LEI,213800THGIUR8XF8OZ68,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
GB-COH|08902636,GB-COH,08902636,Companies House,http://www.companieshouse.gov.uk/
XI-LEI|5493003I024VW3EM4E21,XI-LEI,5493003I024VW3EM4E21,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
DK-CVR|31849292,DK-CVR,31849292,Danish Central Business Register,https://datacvr.virk.dk/data/
XI-LEI|549300Q8HMKBGXWJ3Q83,XI-LEI,549300Q8HMKBGXWJ3Q83,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
DK-CVR|28330766,DK-CVR,28330766,Danish Central Business Register,https://datacvr.virk.dk/data/
XI-LEI|549300TKCR7ADX1M3969,XI-LEI,549300TKCR7ADX1M3969,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
DK-CVR|27210538,DK-CVR,27210538,Danish Central Business Register,https://datacvr.virk.dk/data/
XI-LEI|2138001I4N44QV4N1858,XI-LEI,2138001I4N44QV4N1858,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
DK-CVR|18936674,DK-CVR,18936674,Danish Central Business Register,https://datacvr.virk.dk/data/
XI-LEI|213800BXZH7RWO84SI42,XI-LEI,213800BXZH7RWO84SI42,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
GB-COH|07489052,GB-COH,07489052,Companies House,http://www.companieshouse.gov.uk/
XI-LEI|213800FUUO6AEPNKR357,XI-LEI,213800FUUO6AEPNKR357,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
GB-COH|07883217,GB-COH,07883217,Companies House,http://www.companieshouse.gov.uk/
XI-LEI|213800LX24J8JOPTTD69,XI-LEI,213800LX24J8JOPTTD69,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
GB-COH|10722635,GB-COH,10722635,Companies House,http://www.companieshouse.gov.uk/
XI-LEI|549300LOMJ5CLDVY0Q25,XI-LEI,549300LOMJ5CLDVY0Q25,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
US-SAM|7658083,US-SAM,7658083,"System for Award Management (SAM) Unique Entity ID, USA",https://sam.gov/content/entity-registration
XI-LEI|5493002L8GVKESUG4F17,XI-LEI,5493002L8GVKESUG4F17,Global Legal Entity Identifier Index,https://www.gleif.org/en/about-lei/introducing-the-legal-entity-identifier-lei
